host,ip,port,protocol,base_protocol,title,domain,server,link
sgxt.pyvtc.edu.cn:8091,218.28.84.53,8091,http,tcp,Apache Tomcat/8.5.56,pyvtc.edu.cn,,http://sgxt.pyvtc.edu.cn:8091
relax.sxpi.edu.cn:9001,123.138.199.31,9001,http,tcp,Apache Tomcat/8.5.41,sxpi.edu.cn,,http://relax.sxpi.edu.cn:9001
zfyx.hmlc.edu.cn,58.20.48.163,80,http,tcp,Apache Tomcat/8.5.56,hmlc.edu.cn,none,http://zfyx.hmlc.edu.cn
keyan.ncc.edu.cn,58.213.152.100,80,http,tcp,,ncc.edu.cn,none,http://keyan.ncc.edu.cn
budget.sandau.edu.cn:8080,202.121.174.101,8080,http,tcp,Apache Tomcat/8.5.100,sandau.edu.cn,,http://budget.sandau.edu.cn:8080
relax.sxpi.edu.cn:9003,123.138.199.31,9003,http,tcp,Apache Tomcat/8.5.41,sxpi.edu.cn,,http://relax.sxpi.edu.cn:9003
jwgl.snsy.edu.cn:8080,202.117.199.11,8080,http,tcp,Apache Tomcat/7.0.109,snsy.edu.cn,none,http://jwgl.snsy.edu.cn:8080
xm.sicfl.edu.cn:6001,219.220.176.125,6001,http,tcp,Apache Tomcat,sicfl.edu.cn,Apache-Coyote/1.1,http://xm.sicfl.edu.cn:6001
visapp.shanghaitech.edu.cn:8020,119.78.254.143,8020,http,tcp,Apache Tomcat/8.5.57,shanghaitech.edu.cn,,http://visapp.shanghaitech.edu.cn:8020
sg.ayxy.edu.cn,218.28.96.51,80,http,tcp,Apache Tomcat/8.5.56,ayxy.edu.cn,rump/d,http://sg.ayxy.edu.cn
yx.zjyc.edu.cn,42.247.11.23,80,http,tcp,浙江农林大学暨阳学院迎新服务平台,zjyc.edu.cn,,http://yx.zjyc.edu.cn
idp.guat.edu.cn,202.193.96.25,80,http,tcp,Apache Tomcat/8.5.51,guat.edu.cn,none,http://idp.guat.edu.cn
cwcwx.hbue.edu.cn:8080,218.197.82.41,8080,http,tcp,Apache Tomcat/9.0.87,hbue.edu.cn,,http://cwcwx.hbue.edu.cn:8080
lbstu.sicfl.edu.cn:6001,219.220.176.125,6001,http,tcp,Apache Tomcat,sicfl.edu.cn,Apache-Coyote/1.1,http://lbstu.sicfl.edu.cn:6001
https://keyan.ncc.edu.cn,58.213.152.100,443,https,tcp,,ncc.edu.cn,none,https://keyan.ncc.edu.cn
www.fz.sicfl.edu.cn,219.220.176.85,80,http,tcp,,sicfl.edu.cn,Apache-Coyote/1.1,http://www.fz.sicfl.edu.cn
bsdt.whvc.edu.cn,222.194.96.151,80,http,tcp,HTTP状态 404 - 未找到,whvc.edu.cn,nginx/1.18.0,http://bsdt.whvc.edu.cn
health.lhvtc.edu.cn,222.21.160.66,80,http,tcp,Apache Tomcat,lhvtc.edu.cn,none,http://health.lhvtc.edu.cn
xlzx.hnvcc.edu.cn,218.77.43.189,80,http,tcp,HTTP状态 404 - 未找到,hnvcc.edu.cn,,http://xlzx.hnvcc.edu.cn
zcgl.hbiibe.edu.cn,121.22.51.226,80,http,tcp,Apache Tomcat/8.5.61,hbiibe.edu.cn,,http://zcgl.hbiibe.edu.cn
xlzx.xaepi.edu.cn,202.117.224.198,80,http,tcp,Apache Tomcat,xaepi.edu.cn,,http://xlzx.xaepi.edu.cn
https://zcgl.hbiibe.edu.cn,121.22.51.226,443,https,tcp,Apache Tomcat/8.5.61,hbiibe.edu.cn,,https://zcgl.hbiibe.edu.cn
https://reshui.zstp.edu.cn,116.56.192.18,443,https,tcp,Apache Tomcat/9.0.39,zstp.edu.cn,nginx,https://reshui.zstp.edu.cn
https://zhpj.mju.edu.cn,211.80.210.8,443,https,tcp,系统关闭-暂停访问,mju.edu.cn,unknown,https://zhpj.mju.edu.cn
jz901.jzp.edu.cn,58.192.231.66,80,http,tcp,Apache Tomcat/8.5.82,jzp.edu.cn,,http://jz901.jzp.edu.cn
rjds.sict.edu.cn:8080,211.64.112.111,8080,http,tcp,Apache Tomcat/9.0.93,sict.edu.cn,,http://rjds.sict.edu.cn:8080
tzgg.szitu.edu.cn,219.230.17.1,80,http,tcp,Apache Tomcat/8.0.30,szitu.edu.cn,,http://tzgg.szitu.edu.cn
jedu.cdp.edu.cn,121.48.28.42,80,http,tcp,Apache Tomcat/8.0.9 - Error report,cdp.edu.cn,Apache-Coyote/1.1,http://jedu.cdp.edu.cn
zhpj.mju.edu.cn,211.80.210.8,80,http,tcp,系统关闭-暂停访问,mju.edu.cn,unknown,http://zhpj.mju.edu.cn
fr.sicfl.edu.cn,219.220.176.95,80,http,tcp,Apache Tomcat/8.5.40,sicfl.edu.cn,,http://fr.sicfl.edu.cn
reshui.zstp.edu.cn,116.56.192.18,80,http,tcp,Apache Tomcat/9.0.39,zstp.edu.cn,nginx,http://reshui.zstp.edu.cn
https://znab.pyzx.edu.cn,222.16.165.163,443,https,tcp,HTTP状态 404 - 未找到,pyzx.edu.cn,nginx,https://znab.pyzx.edu.cn
https://zfbjfpt.dlnu.edu.cn,210.30.4.18,443,https,tcp,Apache Tomcat/9.0.29,dlnu.edu.cn,,https://zfbjfpt.dlnu.edu.cn
https://opac.sicfl.edu.cn,219.220.176.105,443,https,tcp,Apache Tomcat/8.0.52,sicfl.edu.cn,Apache-Coyote/1.1,https://opac.sicfl.edu.cn
tsgopenlib.zjitc.edu.cn,218.75.26.89,80,http,tcp,Apache Tomcat/8.5.87,zjitc.edu.cn,,http://tsgopenlib.zjitc.edu.cn
https://tsgopenlib.zjitc.edu.cn,218.75.26.89,443,https,tcp,Apache Tomcat/8.5.87,zjitc.edu.cn,,https://tsgopenlib.zjitc.edu.cn
https://arss.fjmu.edu.cn,111.186.241.176,443,https,tcp,Apache Tomcat/8.0.50 - Error report,fjmu.edu.cn,Apache-Coyote/1.1,https://arss.fjmu.edu.cn
https://jypay.sicfl.edu.cn,219.220.176.105,443,https,tcp,Apache Tomcat/8.0.52,sicfl.edu.cn,Apache-Coyote/1.1,https://jypay.sicfl.edu.cn
znab.pyzx.edu.cn,222.16.165.163,80,http,tcp,HTTP状态 404 - 未找到,pyzx.edu.cn,nginx,http://znab.pyzx.edu.cn
https://sp.cw.cvit.edu.cn,202.98.31.163,443,https,tcp,,cvit.edu.cn,openresty,https://sp.cw.cvit.edu.cn
sp.cw.cvit.edu.cn,202.98.31.163,80,http,tcp,,cvit.edu.cn,openresty,http://sp.cw.cvit.edu.cn
isurvey.pku.edu.cn:8080,162.105.134.246,8080,http,tcp,Apache Tomcat/8.5.100,pku.edu.cn,,http://isurvey.pku.edu.cn:8080
wxgz.tust.edu.cn,111.160.240.120,80,http,tcp,Welcome to nginx!,tust.edu.cn,rums/d,http://wxgz.tust.edu.cn
https://cwjf.zjhzu.edu.cn,60.188.54.123,443,https,tcp,Apache Tomcat/7.0.73,zjhzu.edu.cn,Apache-Coyote/1.1,https://cwjf.zjhzu.edu.cn
qyh.cxxy.seu.edu.cn,58.213.157.229,80,http,tcp,Apache Tomcat/7.0.78,seu.edu.cn,Apache-Coyote/1.1,http://qyh.cxxy.seu.edu.cn
isurvey.lb.pku.edu.cn:8080,162.105.134.246,8080,http,tcp,Apache Tomcat/8.5.100,pku.edu.cn,,http://isurvey.lb.pku.edu.cn:8080
oa.dmuzs.edu.cn:8080,118.202.255.55,8080,http,tcp,Apache Tomcat/8.5.76,dmuzs.edu.cn,,http://oa.dmuzs.edu.cn:8080
wls.neuedu.neusoft.edu.cn,219.216.131.82,80,http,tcp,Apache Tomcat/8.5.100,neusoft.edu.cn,nginx/1.26.2,http://wls.neuedu.neusoft.edu.cn
https://wls.neuedu.neusoft.edu.cn,219.216.131.82,443,https,tcp,Apache Tomcat/8.5.100,neusoft.edu.cn,nginx/1.26.2,https://wls.neuedu.neusoft.edu.cn
sso.jwc.whut.edu.cn,202.114.50.129,80,http,tcp,Apache Tomcat/6.0.53 - Error report,whut.edu.cn,Server,http://sso.jwc.whut.edu.cn
https://diankong.neusoft.edu.cn,219.216.131.82,443,https,tcp,Apache Tomcat/8.0.36,neusoft.edu.cn,nginx/1.26.2,https://diankong.neusoft.edu.cn
diankong.neusoft.edu.cn,219.216.131.82,80,http,tcp,Apache Tomcat/8.0.36,neusoft.edu.cn,nginx/1.26.2,http://diankong.neusoft.edu.cn
db.jxga.edu.cn,117.40.28.2,80,http,tcp,Apache Tomcat,jxga.edu.cn,Apache-Coyote/1.1,http://db.jxga.edu.cn
chainfunds.zufe.edu.cn,120.199.62.151,80,http,tcp,Apache Tomcat/8.5.41,zufe.edu.cn,,http://chainfunds.zufe.edu.cn
online.xnai.edu.cn,120.35.121.21,80,http,tcp,厦门国家会计学院远程教育,xnai.edu.cn,nginx,http://online.xnai.edu.cn
https://hbzyysp.hbucm.edu.cn,218.197.176.6,443,https,tcp,Apache Tomcat/9.0.62,hbucm.edu.cn,none,https://hbzyysp.hbucm.edu.cn
hbzyysp.hbucm.edu.cn,218.197.176.6,80,http,tcp,Apache Tomcat/9.0.62,hbucm.edu.cn,none,http://hbzyysp.hbucm.edu.cn
jccxx.cqust.edu.cn,222.180.188.201,80,http,tcp,Apache Tomcat/9.0.31,cqust.edu.cn,none,http://jccxx.cqust.edu.cn
https://jccxx.cqust.edu.cn,222.180.188.201,443,https,tcp,Apache Tomcat/9.0.31,cqust.edu.cn,none,https://jccxx.cqust.edu.cn
ldxx.cqust.edu.cn,222.180.188.205,80,http,tcp,Apache Tomcat/9.0.73,cqust.edu.cn,,http://ldxx.cqust.edu.cn
https://fcgl.swu.edu.cn,222.198.126.134,443,https,tcp,Apache Tomcat,swu.edu.cn,Apache-Coyote/1.1,https://fcgl.swu.edu.cn
fcgl.swu.edu.cn,222.198.126.134,80,http,tcp,Apache Tomcat,swu.edu.cn,Apache-Coyote/1.1,http://fcgl.swu.edu.cn
zp.zjtongji.edu.cn:8080,115.238.80.24,8080,http,tcp,Apache Tomcat/9.0.62,zjtongji.edu.cn,,http://zp.zjtongji.edu.cn:8080
https://psy.smxpt.edu.cn,125.219.160.247,443,https,tcp,,smxpt.edu.cn,nginx/1.24.0,https://psy.smxpt.edu.cn
hqbxwxxt.jlau.edu.cn,202.198.0.45,80,http,tcp,Apache Tomcat/9.0.54,jlau.edu.cn,,http://hqbxwxxt.jlau.edu.cn
zs1.sicfl.edu.cn,219.220.176.85,80,http,tcp,,sicfl.edu.cn,Apache-Coyote/1.1,http://zs1.sicfl.edu.cn
live.cxxy.seu.edu.cn,58.213.157.229,80,http,tcp,"	教育视频综合服务平台",seu.edu.cn,Apache-Coyote/1.1,http://live.cxxy.seu.edu.cn
idp-lib.cqnu.edu.cn,123.147.223.6,80,http,tcp,Apache Tomcat/9.0.39,cqnu.edu.cn,******,http://idp-lib.cqnu.edu.cn
https://znbx.cjlu.edu.cn,202.107.226.162,443,https,tcp,Apache Tomcat/9.0.31,cjlu.edu.cn,,https://znbx.cjlu.edu.cn
cwcwssb.cqnu.edu.cn,123.147.223.6,80,http,tcp,Apache Tomcat/9.0.56,cqnu.edu.cn,******,http://cwcwssb.cqnu.edu.cn
akmooc.ahstu.edu.cn,211.70.48.10,80,http,tcp,MOOC实验实训平台,ahstu.edu.cn,,http://akmooc.ahstu.edu.cn
https://zcgl.gdmu.edu.cn,202.192.112.146,443,https,tcp,Apache Tomcat/9.0.96,gdmu.edu.cn,,https://zcgl.gdmu.edu.cn
https://zcpt.usx.edu.cn,61.174.215.231,443,https,tcp,Apache Tomcat/8.5.95,usx.edu.cn,nginx,https://zcpt.usx.edu.cn
https://hqbxwxxt.jlau.edu.cn,202.198.0.45,443,https,tcp,Apache Tomcat/9.0.54,jlau.edu.cn,,https://hqbxwxxt.jlau.edu.cn
https://s.mmpt.edu.cn,125.90.95.149,443,https,tcp,Apache Tomcat/9.0.62,mmpt.edu.cn,openresty,https://s.mmpt.edu.cn
https://jedu.dzvc.edu.cn,121.250.88.30,443,https,tcp,Apache Tomcat/7.0.85,dzvc.edu.cn,openresty,https://jedu.dzvc.edu.cn
wpssso.bupt.edu.cn,114.255.40.166,80,http,tcp,Apache Tomcat/8.5.99,bupt.edu.cn,none,http://wpssso.bupt.edu.cn
https://i-expenseapp.cuhk.edu.cn:8444,58.250.174.70,8444,https,tcp,Apache Tomcat/9.0.89,cuhk.edu.cn,,https://i-expenseapp.cuhk.edu.cn:8444
classroom.bupt.edu.cn,211.68.69.240,80,http,tcp,教室VR全景互动系统,bupt.edu.cn,none,http://classroom.bupt.edu.cn
wx.jwc.whut.edu.cn,202.114.90.167,80,http,tcp,,whut.edu.cn,Server,http://wx.jwc.whut.edu.cn
https://classroom.bupt.edu.cn,211.68.69.240,443,https,tcp,教室VR全景互动系统,bupt.edu.cn,none,https://classroom.bupt.edu.cn
bigdata.pku.edu.cn:8080,162.105.134.246,8080,http,tcp,Apache Tomcat/8.5.100,pku.edu.cn,,http://bigdata.pku.edu.cn:8080
zxzf.tjut.edu.cn:9080,202.113.66.34,9080,http,tcp,Apache Tomcat/9.0.87,tjut.edu.cn,,http://zxzf.tjut.edu.cn:9080
scr.tjarts.edu.cn,202.113.216.19,80,http,tcp,302 Found,tjarts.edu.cn,openresty,http://scr.tjarts.edu.cn
https://jcxt.bitzh.edu.cn,112.91.150.239,443,https,tcp,Apache Tomcat/8.5.31,bitzh.edu.cn,,https://jcxt.bitzh.edu.cn
ss.jlu.edu.cn:8080,59.72.0.165,8080,http,tcp,Apache Tomcat/8.5.82,jlu.edu.cn,,http://ss.jlu.edu.cn:8080
https://wpssso.bupt.edu.cn,211.68.69.240,443,https,tcp,Apache Tomcat/8.5.99,bupt.edu.cn,none,https://wpssso.bupt.edu.cn
i.zzcsjr.edu.cn,59.70.13.45,80,http,tcp,郑州财税金融职业学院,zzcsjr.edu.cn,nginx,http://i.zzcsjr.edu.cn
https://myit.nottingham.edu.cn,4.216.205.136,443,https,tcp,HTTP状态 404 - 未找到,nottingham.edu.cn,,https://myit.nottingham.edu.cn
myit.nottingham.edu.cn,4.216.205.136,80,http,tcp,Redirecting...,nottingham.edu.cn,,http://myit.nottingham.edu.cn
gzc112.hebeinu.edu.cn,60.8.4.246,80,http,tcp,Apache Tomcat/8.5.61,hebeinu.edu.cn,,http://gzc112.hebeinu.edu.cn
sms.shisu.edu.cn,218.193.161.47,80,http,tcp,Apache Tomcat/6.0.35 - Error report,shisu.edu.cn,,http://sms.shisu.edu.cn
https://jsfzzx.tyut.edu.cn,202.207.240.36,443,https,tcp,Apache Tomcat/8.5.65,tyut.edu.cn,nginx/1.16.1,https://jsfzzx.tyut.edu.cn
buy.cwu.edu.cn:8080,106.39.32.172,8080,http,tcp,Apache Tomcat/9.0.40,cwu.edu.cn,,http://buy.cwu.edu.cn:8080
219-242-30-219-8080.webvpn.cwu.edu.cn,106.39.32.209,80,http,tcp,Apache Tomcat/8.0.52,cwu.edu.cn,Apache-Coyote/1.1,http://219-242-30-219-8080.webvpn.cwu.edu.cn
ygxxgcxy.whu.edu.cn:8080,202.114.121.116,8080,http,tcp,Apache Tomcat/9.0.21,whu.edu.cn,,http://ygxxgcxy.whu.edu.cn:8080
https://ycrh.cumt.edu.cn:8080,219.219.48.213,8080,https,tcp,Apache Tomcat/9.0.98,cumt.edu.cn,,https://ycrh.cumt.edu.cn:8080
https://szdxcwsp.szu.edu.cn,210.39.4.1,443,https,tcp,,szu.edu.cn,****,https://szdxcwsp.szu.edu.cn
szdxcwsp.szu.edu.cn,210.39.4.1,80,http,tcp,,szu.edu.cn,****,http://szdxcwsp.szu.edu.cn
status.szu.edu.cn,210.39.4.1,80,http,tcp,,szu.edu.cn,****,http://status.szu.edu.cn
https://status.szu.edu.cn,210.39.4.1,443,https,tcp,,szu.edu.cn,****,https://status.szu.edu.cn
https://ydny.ytu.edu.cn,202.194.116.74,443,https,tcp,Apache Tomcat/8.5.24,ytu.edu.cn,none,https://ydny.ytu.edu.cn
ydny.ytu.edu.cn,202.194.116.74,80,http,tcp,Apache Tomcat/8.5.24,ytu.edu.cn,none,http://ydny.ytu.edu.cn
gjxyexam.sdfmu.edu.cn,2001:250:5839:8000::113,80,http,tcp,欢迎使用山东第一医科大学网络题库与考试系统,sdfmu.edu.cn,Apache-Coyote/1.1,http://gjxyexam.sdfmu.edu.cn
https://vis.sysysb.ynu.edu.cn,2001:250:2800:0:28:0:13:95,443,https,tcp,Apache Tomcat/8.5.79,ynu.edu.cn,,https://vis.sysysb.ynu.edu.cn
https://fcgl.zjsru.edu.cn,60.191.53.227,443,https,tcp,Apache Tomcat/8.5.61,zjsru.edu.cn,Tengine,https://fcgl.zjsru.edu.cn
fcgl.zjsru.edu.cn,60.191.53.227,80,http,tcp,Apache Tomcat/8.5.61,zjsru.edu.cn,Tengine,http://fcgl.zjsru.edu.cn
https://rwdtpt.scau.edu.cn,222.201.226.101,443,https,tcp,Apache Tomcat/9.0.97,scau.edu.cn,nginx,https://rwdtpt.scau.edu.cn
rwdtpt.scau.edu.cn,222.201.226.101,80,http,tcp,Apache Tomcat/9.0.97,scau.edu.cn,nginx,http://rwdtpt.scau.edu.cn
https://m.scbt.edu.cn,42.247.48.65,443,https,tcp,Apache Tomcat/8.0.47,scbt.edu.cn,none,https://m.scbt.edu.cn
zcgl.scctcm.edu.cn:8081,223.87.157.22,8081,http,tcp,Apache Tomcat/8.5.61,scctcm.edu.cn,,http://zcgl.scctcm.edu.cn:8081
https://idp.gxgsxy.edu.cn,222.203.216.1,443,https,tcp,Shibboleth IdP,gxgsxy.edu.cn,nginx/1.14.1,https://idp.gxgsxy.edu.cn
yjsapp.nwnu.edu.cn,210.26.98.214,80,http,tcp,Apache Tomcat/8.5.99,nwnu.edu.cn,none,http://yjsapp.nwnu.edu.cn
https://yjsapp.nwnu.edu.cn,210.26.98.214,443,https,tcp,Apache Tomcat/8.5.99,nwnu.edu.cn,none,https://yjsapp.nwnu.edu.cn
https://aihpc.nju.edu.cn,202.119.37.248,443,https,tcp,Apache Tomcat/8.5.47,nju.edu.cn,Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips,https://aihpc.nju.edu.cn
aihpc.nju.edu.cn,202.119.37.248,80,http,tcp,Apache Tomcat/8.5.47,nju.edu.cn,Apache/2.4.25 (Unix) OpenSSL/1.0.1e-fips,http://aihpc.nju.edu.cn
yshyn.sysx.jsou.edu.cn,218.2.200.154,80,http,tcp,Apache Tomcat/8.5.38,jsou.edu.cn,,http://yshyn.sysx.jsou.edu.cn
https://dk.tyust.edu.cn,210.31.104.45,443,https,tcp,Apache Tomcat/9.0.93,tyust.edu.cn,,https://dk.tyust.edu.cn
lwtj.cqut.edu.cn,202.202.157.110,80,http,tcp,Apache Tomcat/7.0.100,cqut.edu.cn,******,http://lwtj.cqut.edu.cn
https://lwtj.cqut.edu.cn,202.202.157.110,443,https,tcp,Apache Tomcat/7.0.100,cqut.edu.cn,******,https://lwtj.cqut.edu.cn
https://ipass.qust.edu.cn,211.87.159.15,443,https,tcp,,qust.edu.cn,none,https://ipass.qust.edu.cn
https://ccic.swjtu.edu.cn,180.85.12.6,443,https,tcp,,swjtu.edu.cn,rums/b,https://ccic.swjtu.edu.cn
newbooks.lib.pku.edu.cn,2001:da8:201:1138::a269:8a7d,80,http,tcp,新书通报--北京大学图书馆,pku.edu.cn,,http://newbooks.lib.pku.edu.cn
linguist.ccnu.edu.cn,183.168.162.4,80,http,tcp,Apache Tomcat/5.5.26,ccnu.edu.cn,Server,http://linguist.ccnu.edu.cn
vis.sysysb.ynu.edu.cn,113.55.13.95,80,http,tcp,Apache Tomcat/8.5.79,ynu.edu.cn,,http://vis.sysysb.ynu.edu.cn
https://newbooks.lib.pku.edu.cn,162.105.138.125,443,https,tcp,新书通报--北京大学图书馆,pku.edu.cn,,https://newbooks.lib.pku.edu.cn
https://zcc-temp.bistu.edu.cn:8080,211.82.109.112,8080,https,tcp,Apache Tomcat/7.0.65,bistu.edu.cn,Apache-Coyote/1.1,https://zcc-temp.bistu.edu.cn:8080
tbjx.tj.edu.cn:9000,111.164.113.39,9000,http,tcp,Apache Tomcat/7.0.57,tj.edu.cn,Apache-Coyote/1.1,http://tbjx.tj.edu.cn:9000
